Draw,"Atlanta, GA","Chicago, IL","Dallas-Ft. Worth, TX","Houston, TX","Los Angeles, CA","Miami-Ft. Lauderdale, FL","New York, NY","Philadelphia, PA",Puerto Rico
61,32251.84578870819,-1513011.796633698,22872.833757814253,-538252.2520254854,543786.2753477977,303377.34040905966,1365972.3829345712,-968937.8993616275,725864.8622665522
62,-695319.1253120782,-998428.6946468732,-134896.6989738166,-817792.6977274318,295578.17746292823,496163.0235854577,672242.6479469435,-481961.1152340949,581891.7140342754
63,-564852.877652602,516071.86009632726,-445717.74945033237,-764006.9170888674,-181589.56079500937,586300.118325469,-492480.4309477848,-541724.4995238822,1005153.8663280621
64,-177872.97247243125,-622462.5515549362,-101367.21748054575,-571677.9351699048,-235921.66450592037,-274821.58141082036,2089235.1464764045,-541187.0286122953,61576.20942358719
65,-283591.1235565172,-516731.99470759043,-1580.3954044734128,-610096.5235535094,115969.8333029605,-62105.659639538266,1893035.3124470392,-541189.4353536319,271850.01472763414
66,-500837.7594623192,-55010.37386589777,47447.05521569587,-406817.6991602186,1152498.9652388494,324206.4425702876,1697962.5189780365,-843113.1816732634,1002392.0691521787
67,211592.0945544344,-1302801.6499620972,216953.55294099334,5899.348203285714,421471.7053057463,-47972.18954867078,797405.7393204123,-479135.8305187144,71038.17699076957
68,306333.5346312156,-1836834.3672401945,575878.9266773433,-460636.9190796226,1840385.253962178,646521.0533114184,2840752.3115573097,-512352.2000477968,1429140.532583734
69,60204.32690011733,-496505.7976623741,250185.0123403289,-485212.09619461244,1592486.0569114925,379433.49821486906,1462302.0845547044,-637347.7595800741,-317416.2056041651
70,-237518.8940959107,-511042.9933747777,-159930.2283589103,-982633.4238965525,956682.7319344042,637490.741463919,1174932.335912067,-612921.221818689,992350.9662575615
71,256381.79486169713,320613.277138424,-324113.1853062798,-58622.21810548694,177730.58774306625,16029.396475013928,1138425.2034699353,-771374.9807559558,441330.0208758388
72,-654283.0066839225,208052.58152662904,-20548.513044833322,-668357.2221372771,618469.0791835606,287707.7972809826,-327802.5916386107,-730941.6355122728,159246.25808307505
73,-383097.27841411036,334347.22721959115,113655.84821893263,-502451.1739858254,1489535.0826375869,228841.02044457034,-210175.79701220943,-618210.0332067565,107390.42464779853
74,-1025917.9008256154,-667362.8171719824,386851.37671999005,-759603.6740407055,778560.9482785393,306539.12666291394,-566047.8362871394,-46831.29096162773,129013.65594108077
75,-93767.31435000617,-699014.6210779625,390127.8169848601,-753283.5547870777,1051550.1668256682,41847.248135062284,-2157690.2167129675,-970281.8336502748,273769.62535995105
76,-117779.58388797357,-849835.0816148452,-18286.984323064797,-611066.1546007199,1731727.795886254,-47525.50094526238,3116575.3402544307,-973377.2793132032,952643.8943843876
77,-121603.03435493214,-514156.40702303255,-32982.80064029829,-787660.7332724383,979641.0421545261,367152.62105465215,1847624.7634426188,-485850.5191285808,145628.99153347197
78,-112153.73168630229,-421707.63219429087,-146643.6681715321,-466493.243244817,392473.3995856836,484627.68877771765,2445919.3986563478,-507610.7152736143,116270.79514729977
79,136281.52692894882,-720045.8329923421,-231561.99118998938,-1098293.07187085,161636.75148322387,45973.39589826926,-517483.10788305383,-284788.8261638379,528703.8762322103
80,-677363.6904555513,-584900.1379699433,-615468.493036027,-132269.90160280408,553052.1610983424,424658.88188424276,-485600.1371549303,-1068916.5702506506,681744.0116445541
81,-408147.9211843669,-271621.9320105158,41398.230750274844,-864142.6778985601,-66650.97824908816,65672.40117087273,1169953.5541923302,-939972.4464765002,14528.444668262498
82,151960.31320371665,-1130425.0192078918,117811.69240110053,-339295.0669203813,-51362.68437295873,354843.48528559017,1052476.3031598679,-1038126.7794172056,259368.48898086906
83,-115946.67639707669,-1113154.943247886,110183.13858078315,-1080975.9789507743,212948.54572529532,104185.08675330109,1319523.7483985252,-427836.3647532108,573080.3294914414
84,14982.537665668176,-338327.11067595985,81322.0815739996,-104337.56125393882,334992.49207527004,276446.7331914342,466299.8165446725,-531417.1993766506,362846.9007691771
85,-99586.5562379387,-720797.8748290475,-1827.9220529352315,-427166.98991190165,328005.90661580744,356403.1466728508,1914597.4380097794,-473669.9377217004,684021.0425885746
86,-183522.50805422594,-642587.9385541924,88879.58758653165,-554382.0576890238,567846.5128887333,55316.480354339,1101023.3371959068,-867859.3473898314,660328.2713980204
87,374477.2467306158,-639670.5660575143,-145123.61810749304,-680662.7079726799,1178892.2322274232,246708.77216349146,83331.39463179745,-981938.7298135288,-51242.309552484425
